CourseId	Name	Description	Rating	SportId	TeacherId
108	Flips & Kicks | Beginner Guide for Martial Arts & Gymnastics	"Learn Martial Arts Acrobatics Flips & Kicks, Regain Your Confidence and Upgrade Fitness,Tricking,Health and Happiness"	4.6		
109	Top Outdoor Tennis Fitness Exercises - Tennis Fit Blueprint	Are You Ready to Take Your Tennis Fitness To the Next Level?	4.6		
110	Kitesurfing 101 - Learn How to Kitesurf/Kiteboard	"Kitesurfing is one fantastic and powerful sport, so, let's learn how things work before heading out on the water!"	4.8		
111	The Complete Course on Sports Journalism	"A Guide on How to Report, Write and Think Like a Sports Journalist, Including Tips on How to Thrive in the Digital Age"	4.5		
112	Strength and Conditioning for Sports	featuring Coach Matt Shadeed	4.5		
113	Strength and Conditioning for Sports	featuring Coach Matt Shadeed	4.5		
114	The Complete Golf Guide	"Improve your short game, golf swing, and course management with simple step by step drills at your own pace on Udemy."	3.8		
115	Ice-Skating: Basic Skills	a guide to understanding the basic and essential skills of beginning figure skating and hockey	4.5		
116	Mindfulness & Visualisation for Athletes	Master mindfulness and mental imagery (visualization) with this hands-on course	4.7		
117	Positional Play - Football (Soccer) Play-Styles	Learn how to coach and play Positional Play effectively	4.4		
118	Sports Massage: Learn Advanced Sports Massage and Yoga	How to Achieve a Lifetime of Expert Sustained Peak Performance	3.8		
119	Triathlon For Beginners	"Master swim, bike, run, nutrition, psychology and everything you need to know to race with confidence"	4.2		
120	Youth Sports Coaching	Try your best. Learn. Have Fun!	4.1		
121	Sports Agents and the Athlete Management Business	An In-Depth Look at the Work of Sports Agents and What They do for Athletes to Get the Most Out of Their Careers.	4.4		
122	Pros Tennis Footwork	Discover How to Apply ATP Pros Footwork Into Your Game	4.2		
123	The Guide Through College Athletic Recruiting & College Prep	Prepare for the recruiting process and for a successful college experience	5.0		
124	Learn to swim 200m breaststroke and protect lower back	WEST Breaststroke swim course will let you learn how to swim breaststroke according to your flexibility & abilities	4.1		
125	Qigong Five Animal Sports Theory and Exercises with Dr Yang	"The 2,000-year old medical qigong, the Five Animal Frolics or Sports, use animal movements to benefit your health. YMAA"	4.8		
126	"Street soccer, a guide to using small sided games."	This course updates the material in an internationally recognized website and DVD. The DVD's workbook is included.	4.1		
127	How To Fix Your Golf Slice!	A step-by-step method to eliminate the most embarrassing shot in golf.	4.5		
128	Rock Solid Single Hander: One Handed Backhand Blueprint	"Imagine You Could Finally Rely On Your New ""Rock Solid Single Handed Backhand"""	4.5		
129	BASIC TO ADVANCED: Scrummaging Techniques	Learn the basics and gain an insight into further advanced technique in rugby union scrummaging	4.8		
130	How to Hit the Perfect Tennis Forehand	Pro Joseph Correa teaches you how to have a world class forehand no matter what your level of play	3.8		
131	"Learn to swim backstroke with the ""WEST"" swimming technique"	"Learn to swim backstroke the WEST way - protect your lower back & neck, elongating your muscles and swim faster!"	4.4		
132	Sports Coaching Certificate Course (ALL SPORTS) - Foundation	"Master foundational principles to be an EXCEPTIONAL sports coach in any sport (soccer, gymnastics, volleyball etc.)"	4.8		
133	"LTAD, & SDS Youth Coach Certification"	"Be the ""SPECIAL"" ""IMPACT"" Coach that keeps kids playing with the LTAD & SDS, the best youth sports models in the world!"	4.0		
134	Cricket Career Preparation	"Develop your career with aspects of Body, Mind, Opportunities, and Planning for future."	4.7		
135	Forehand Masterclass: 10X Your Forehand Potential	Learn How to Master the Forehand's 3 Most Important Areas & Turn Your Forehand Into a Weapon.	4.7		
136	Learning to Ski or Snowboard	Everything you need to know to enjoy your time on the slopes	5.0		
137	Be an Explosive T20 Cricket Batsman	"Practical T20 cricket batting, 12 exercises, Mental Skills, Strike Zones, and Cricket Kit for safety and performance"	3.7		
138	The Art of Falling	Don't Risk Your Love of Movement or Sports Career to Chance	4.7		
139	Sports Management: Gameday Operations	Everything You Need to Know About Sports Gameday Operations and How to Start Your Career	4.4		
140	Advanced Basketball: Offensive Dribbling Moves	The intent of this course is to teach people advanced dribbling moves that can enhance their offensive game.	4.4		
141	Forehand Topspin Mastery	"Learn How to Develop That ""Rafa Nadal's Massive Topspin Forehand"	4.6		
142	Sports Massage For Body Strength	"Sports pain management, Sports massage for body parts, Hormonal effect of sports massage etc."	3.7		
143	How to become a Soccer Scout?	"Learn here, step-by-step, the path to become a Soccer Scour! Includes useful tips so you can reach your goal faster!"	4.4		
144	Step Up Your Tennis Game	A simple guide teaching you the correct way to hit every shot in tennis	4.4		
145	Sports Management: Data and Analytics	Learn the Concepts Behind Data Analytics and How They Can be Used to Produce Better Results On and Off the Pitch	4.4		
146	How to successfuly complete your first triathlon	"Become a triathelete today by learning the skills, understanding the kit and developing an effective training programme."	3.9		
147	How to become a Soccer Coach?	"Learn here, step-by-step, the path to become a Soccer Coach! Includes useful tips so you can reach your goal faster!"	4.4		
148	Winning the Mental Game at Sports	"Learn the mental tools for Sports Success including Visioning, Growth Mindset, Setting your Ceiling, and EFT/Tapping"	4.0		
149	Run a Marathon ( 26.2 mile) With No (or Little) Training	"Hack your 1st Marathon Learn the Science of Marathon Running 26.2 miles of awesome human evolution. Tips,Hacks,Advice"	3.1		
150	Soccer Coaching Hacks	The complete guide to understanding soccer tactics and how to explain them to kids	4.2		
151	Basketball: Fundamentals of Shooting	The intent of this course is to help anyone improve their shooting skills by going through a step by step tutorial.	4.1		
152	How To Become A Better Soccer Player In Just 60 Days	"#1 Private Soccer Coach in Kentucky Teaches You A Simple, But Proven, Training Program To Improving Your Game"	3.7		
153	"How To Tape An Ankle, Thumb And Finger: A Beginners Guide"	Sprained ankle? Bruised knuckle? Follow these step by step demonstrations on how to prevent and manage these injuries	4.4		
154	Swim Butterfly in WEST Swimming Technique	Learn how to swim butterfly like a pro in 4 easy swimming lesson in the pioneering and proven WEST swimming technique!	4.3		
155	Gymnastics Fundamentals | Basic Acrobatics For Beginners	"Learn Gymnastics & Martial Arts Acrobatics, 4 Week Basic Program for Tricking,Parkour,Tumbling and Martial Arts"	4.9		
156	EFT for Golf - Improve Your Score. Master the Mental Game	"Practical, proven exercises and techniques to super charge your Golf game and make it more fun while cutting strokes."	3.8		
157	105 RIDE VERBATIM: The 4 NATURAL AIDS	"If you're not training the Natural Aids verbatim, there's nothing natural about your riding."	4.8	11	
158	School of Fish SWIMMING STROKES & SKILLS - Course 2	"Learn the Progression for all swimming strokes and skills with the three levels: Barracuda, Swordfish & Dolphin"	4.8	38	
159	How to String a Badminton Racket	A Simple Step by Step Guide to Help you String your own Badminton Racket	4.5	4	
